2026-07-31 20:55:35,465 | INFO | app.middleware.logging | DELETE /api/applications/999 -> 404 (7.29 ms)
2026-07-31 20:55:35,468 | INFO | httpx | HTTP Request: DELETE http://testserver/api/applications/999 "HTTP/1.1 404 Not Found"
2026-07-31 20:55:35,501 | INFO | app.middleware.logging | POST /api/auth/register -> 200 (17.07 ms)
2026-07-31 20:55:35,503 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/register "HTTP/1.1 200 OK"
2026-07-31 20:55:35,531 | INFO | app.middleware.logging | POST /api/auth/login -> 200 (9.21 ms)
2026-07-31 20:55:35,533 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 200 OK"
2026-07-31 20:55:35,555 | INFO | app.middleware.logging | POST /api/auth/login -> 401 (5.07 ms)
2026-07-31 20:55:35,557 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 401 Unauthorized"
2026-07-31 20:55:35,585 | INFO | app.middleware.logging | POST /api/cover-letter -> 200 (8.11 ms)
2026-07-31 20:55:35,588 | INFO | httpx | HTTP Request: POST http://testserver/api/cover-letter "HTTP/1.1 200 OK"
2026-07-31 20:55:35,616 | INFO | app.middleware.logging | POST /api/jobs -> 200 (10.66 ms)
2026-07-31 20:55:35,618 | INFO | httpx | HTTP Request: POST http://testserver/api/jobs "HTTP/1.1 200 OK"
2026-07-31 20:55:35,646 | INFO | app.middleware.logging | GET /api/jobs -> 200 (10.24 ms)
2026-07-31 20:55:35,648 | INFO | httpx | HTTP Request: GET http://testserver/api/jobs "HTTP/1.1 200 OK"
2026-07-31 20:55:35,675 | INFO | app.middleware.logging | GET /api/jobs/1 -> 200 (8.10 ms)
2026-07-31 20:55:35,678 | INFO | httpx | HTTP Request: GET http://testserver/api/jobs/1 "HTTP/1.1 200 OK"
2026-07-31 20:55:35,704 | INFO | app.middleware.logging | PUT /api/jobs/1 -> 200 (9.66 ms)
2026-07-31 20:55:35,706 | INFO | httpx | HTTP Request: PUT http://testserver/api/jobs/1 "HTTP/1.1 200 OK"
2026-07-31 20:55:35,732 | INFO | app.middleware.logging | DELETE /api/jobs/1 -> 200 (7.27 ms)
2026-07-31 20:55:35,734 | INFO | httpx | HTTP Request: DELETE http://testserver/api/jobs/1 "HTTP/1.1 200 OK"
2026-07-31 20:55:35,762 | INFO | app.middleware.logging | POST /api/resumes/upload -> 200 (11.68 ms)
2026-07-31 20:55:35,764 | INFO | httpx | HTTP Request: POST http://testserver/api/resumes/upload "HTTP/1.1 200 OK"
2026-07-31 20:55:35,787 | INFO | app.middleware.logging | GET /api/resumes -> 200 (8.02 ms)
2026-07-31 20:55:35,789 | INFO | httpx | HTTP Request: GET http://testserver/api/resumes "HTTP/1.1 200 OK"
2026-07-31 20:55:35,812 | INFO | app.middleware.logging | GET /api/resumes/latest -> 200 (7.65 ms)
2026-07-31 20:55:35,814 | INFO | httpx | HTTP Request: GET http://testserver/api/resumes/latest "HTTP/1.1 200 OK"
2026-07-31 20:55:40,552 | INFO | app.services.resume_service | Resume uploaded successfully.
2026-07-31 20:55:40,631 | INFO | apscheduler.scheduler | Scheduler has been shut down
2026-07-31 21:15:30,371 | INFO | apscheduler.scheduler | Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-07-31 21:15:30,374 | INFO | apscheduler.scheduler | Added job "import_jobs_task" to job store "default"
2026-07-31 21:15:30,375 | INFO | apscheduler.scheduler | Scheduler started
2026-07-31 21:15:30,482 | INFO | app.middleware.logging | POST /api/applications -> 200 (98.26 ms)
2026-07-31 21:15:30,484 | INFO | httpx | HTTP Request: POST http://testserver/api/applications "HTTP/1.1 200 OK"
2026-07-31 21:15:30,502 | INFO | app.middleware.logging | GET /api/applications -> 200 (5.81 ms)
2026-07-31 21:15:30,504 | INFO | httpx | HTTP Request: GET http://testserver/api/applications "HTTP/1.1 200 OK"
2026-07-31 21:15:30,521 | INFO | app.middleware.logging | PUT /api/applications/1 -> 200 (7.61 ms)
2026-07-31 21:15:30,523 | INFO | httpx | HTTP Request: PUT http://testserver/api/applications/1 "HTTP/1.1 200 OK"
2026-07-31 21:15:30,537 | INFO | app.middleware.logging | PUT /api/applications/999 -> 404 (5.39 ms)
2026-07-31 21:15:30,539 | INFO | httpx | HTTP Request: PUT http://testserver/api/applications/999 "HTTP/1.1 404 Not Found"
2026-07-31 21:15:30,554 | INFO | app.middleware.logging | DELETE /api/applications/1 -> 200 (5.59 ms)
2026-07-31 21:15:30,555 | INFO | httpx | HTTP Request: DELETE http://testserver/api/applications/1 "HTTP/1.1 200 OK"
2026-07-31 21:15:30,569 | INFO | app.middleware.logging | DELETE /api/applications/999 -> 404 (5.15 ms)
2026-07-31 21:15:30,571 | INFO | httpx | HTTP Request: DELETE http://testserver/api/applications/999 "HTTP/1.1 404 Not Found"
2026-07-31 21:15:30,593 | INFO | app.middleware.logging | POST /api/auth/register -> 200 (11.42 ms)
2026-07-31 21:15:30,594 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/register "HTTP/1.1 200 OK"
2026-07-31 21:15:30,610 | INFO | app.middleware.logging | POST /api/auth/login -> 200 (4.91 ms)
2026-07-31 21:15:30,611 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 200 OK"
2026-07-31 21:15:30,625 | INFO | app.middleware.logging | POST /api/auth/login -> 401 (4.03 ms)
2026-07-31 21:15:30,626 | INFO | httpx | HTTP Request: POST http://testserver/api/auth/login "HTTP/1.1 401 Unauthorized"
2026-07-31 21:15:30,656 | INFO | app.middleware.logging | POST /api/cover-letter -> 200 (21.51 ms)
2026-07-31 21:15:30,658 | INFO | httpx | HTTP Request: POST http://testserver/api/cover-letter "HTTP/1.1 200 OK"
2026-07-31 21:15:30,695 | INFO | app.middleware.logging | POST /api/jobs -> 200 (26.11 ms)
2026-07-31 21:15:30,696 | INFO | httpx | HTTP Request: POST http://testserver/api/jobs "HTTP/1.1 200 OK"
2026-07-31 21:15:30,714 | INFO | app.middleware.logging | GET /api/jobs -> 200 (6.93 ms)
2026-07-31 21:15:30,715 | INFO | httpx | HTTP Request: GET http://testserver/api/jobs "HTTP/1.1 200 OK"
